code,title_ko,level,parent_code,name_en
2938,미디어 콘텐츠 창작자,unit,293,Media Contents Creators
2939,기타 연극·영화 및 영상 관련 종사원,unit,293,"Other Drama, Film, and Video-related Workers"
294,시각 및 공연 예술가,minor,29,
2941,화가 및 조각가,unit,294,Painters and Sculptors
2942,사진기자 및 사진가,unit,294,Photograph Journalists and Photographers
2943,만화가 및 만화영화 작가,unit,294,Cartoonists and Animators
2944,국악 및 전통 예능인,unit,294,Korean Classical Musicians and Traditional Artists
2945,지휘자·작곡가 및 연주가,unit,294,"Conductors, Composers, and Performers"
2946,가수 및 성악가,unit,294,Singers and Vocalists
2947,무용가 및 안무가,unit,294,Dancers and Choreographers
2949,기타 시각 및 공연 예술가,unit,294,Other Visual and Performing Artists and Related Workers
295,디자이너,minor,29,
2951,제품 디자이너,unit,295,Product Designers
2952,패션 디자이너,unit,295,Fashion Designers
2953,실내장식 디자이너,unit,295,Interior Decoration Designers
2954,시각 디자이너,unit,295,Graphic Designers
2955,미디어 콘텐츠 디자이너,unit,295,Media Contents Designers
296,스포츠 및 레크리에이션 관련 전문가,minor,29,
2961,스포츠 감독 및 코치,unit,296,Sports Team Head Coaches and Coaching Staff
2962,직업 운동선수,unit,296,Professional Athletes
2963,경기 심판 및 경기 기록원,unit,296,Referees and Score Keepers
2964,스포츠 강사 및 트레이너,unit,296,Sports Instructors and Trainers
2969,기타 스포츠 및 레크리에이션 관련 전문가,unit,296,Other Sports and Recreation-related Professionals
297,식문화 관련 전문가,minor,29,
2970,주방장 및 요리 연구가,unit,297,Chefs and Culinary Development Professionals
298,문화·예술 관련 기획자,minor,29,
2981,공연 및 시각예술 기획자,unit,298,Performing and Visual Art Planners
2982,영화 및 음반 기획자,unit,298,Film and Record Planners
3,사무 종사자,major,,
31,기획·영업 및 인사 사무직,middle,3,
311,기획 및 마케팅 사무원,minor,31,
3111,경영 기획 사무원,unit,311,Business Planning Clerks
3112,영업 및 마케팅 사무원,unit,311,Commerce and Marketing Clerks
312,인사 및 교육·훈련 사무원,minor,31,
3121,인사 및 노무 사무원,unit,312,Human Resources (HR) and Labor Relations Clerks
3122,교육 및 훈련 사무원,unit,312,Education and Training Clerks
32,자재·생산 및 운송 사무직,middle,3,
321,자재 및 생산관리 사무원,minor,32,
3211,자재관리 사무원,unit,321,Inventory Clerks
3212,생산 및 품질관리 사무원,unit,321,Production and Quality Management Clerks
322,운송 및 무역 사무원,minor,32,
3221,도로 및 철도운송 사무원,unit,322,Road and Rail Transport Clerks
3222,수상 및 항공운송 사무원,unit,322,Ocean and Air Transport Clerks
3223,무역 사무원,unit,322,Trade Clerks
3229,기타 운송 및 무역 사무원,unit,322,Other Transport and Trade Clerks
33,회계·경리 및 통계 사무직,middle,3,
331,회계 및 경리 사무원,minor,33,
3311,회계 사무원,unit,331,Accounting Clerks
3312,경리 사무원,unit,331,Bookkeeping Clerks
332,통계·데이터 관련 사무원,minor,33,
3320,통계·데이터 관련 사무원,unit,332,Statistical and Data Entry-related Clerks
34,금융 사무직,middle,3,
340,금융 사무 종사자,minor,34,
3401,출납 창구 사무원,unit,340,Tellers and Cashiers for Financial Services
3402,보험 심사원 및 사무원,unit,340,Insurance Inspectors and Clerks
3403,은행 사무원,unit,340,Bank Clerks
3404,증권 사무원,unit,340,Securities Brokerage Clerks
3405,수금원 및 신용 추심원,unit,340,Payment Collectors and Debt Collection Clerks
3409,기타 금융 사무원,unit,340,Other Financial Service-related Clerks
35,법률·감사 및 정부 행정 사무직,middle,3,
351,법률 및 감사 사무 종사자,minor,35,
3511,법률 관련 사무원,unit,351,Legal Assistants and Related Workers
3512,감사 사무원,unit,351,Inspection Clerks
352,정부 행정 사무 종사자,minor,35,
3521,조세 행정 사무원,unit,352,Tax Administration Clerks
3522,관세 행정 사무원,unit,352,Customs Administration Clerks
3523,병무 행정 사무원,unit,352,Military Administration Clerks
3529,기타 정부 행정 사무원,unit,352,Other Government Administrative Clerks
36,상담·안내 및 접수 사무직,middle,3,
361,여행·안내 및 접수 사무원,minor,36,
3611,여행 사무원,unit,361,Travel Agents
3612,안내·접수원 및 전화교환원,unit,361,"Receptionists, Information Clerks, and Telephone Operators"
362,고객 상담 및 모니터 요원,minor,36,
3620,고객 상담 및 모니터 요원,unit,362,Customer Consultation and Monitoring Service Workers
37,일반 지원 사무직,middle,3,
371,총무 사무원 및 대학 행정조교,minor,37,
3710,총무 사무원 및 대학 행정조교,unit,371,General Affairs Clerks and University Administrative Assistants
372,비서 및 사무 지원 종사자,minor,37,
3721,비서,unit,372,Secretaries
3722,연예인 및 스포츠 매니저,unit,372,Celebrities and Sports Agents
3723,전산 자료 입력원,unit,372,Computer Data Entry Clerks
3724,속기사,unit,372,Stenographers
3725,자원봉사 관리원,unit,372,Volunteer Clerks
3729,기타 사무 지원 종사원,unit,372,Other Clerical Support Workers
4,서비스 종사자,major,,
41,경찰·소방 및 보안 관련 서비스직,middle,4,
411,경찰·소방 및 교도 관련 종사자,minor,41,
4111,경찰관 및 수사관,unit,411,Police and Detectives
4112,소방관,unit,411,Firefighters
4113,소년원 학교 교사 및 교도관,unit,411,Juvenile Probation and Social Services Officers and Prison Guards
412,경호 및 보안 관련 종사자,minor,41,
4121,경호원,unit,412,Bodyguards
4122,청원경찰,unit,412,Police Assigned for Special Guard
4123,시설 및 특수 경비원,unit,412,Facility and Special Security Guards
4124,보안 관제원,unit,412,Security Controllers
4129,기타 경호 및 보안 관련 종사원,unit,412,Other Guards and Security-related Workers
42,돌봄 및 보건 서비스직,middle,4,
421,교사 보조 및 아동 돌봄 종사자,minor,42,
4211,교사 보조 및 관련 종사원,unit,421,Teaching Assistants and Related Workers
4212,보육 관련 시설 돌봄 종사원,unit,421,Childcare-related Facilities Care Workers
4219,기타 교사 보조 및 아동 돌봄 종사원,unit,421,Other Teaching Assistants and Child Care Workers
422,요양보호사 및 간병인,minor,42,
4221,요양보호사,unit,422,Licensed Caregivers
4222,간병인,unit,422,Caregivers for the sick
423,노인 및 장애인 돌봄 종사자,minor,42,
4231,노인 돌봄 종사원,unit,423,Geriatric Care Workers
4232,장애인 돌봄 종사원,unit,423,Special Needs Care Workers
429,기타 돌봄 및 보건 서비스 종사자,minor,42,
4290,기타 돌봄 및 보건 서비스 종사원,unit,429,Other Caregiving and Health Service Workers
43,개인 생활 서비스직,middle,4,
431,미용 관련 서비스 종사자,minor,43,
4311,이용사,unit,431,Barbers
4312,미용사,unit,431,Hairdressers
4313,네일 관리사,unit,431,Nail Artists and Salon Workers
4314,피부 및 체형 관리사,unit,431,Skin Care and Fitness Managers
4315,메이크업 아티스트 및 분장사,unit,431,Makeup Artists and Film Makeup Artists
4319,기타 미용 관련 서비스 종사원,unit,431,Other Hairdressing and Beauty-related Service Workers
432,혼례 및 장례 종사자,minor,43,
4321,결혼 상담원 및 웨딩플래너,unit,432,Wedding Consultants and Planners
4322,혼례 종사원,unit,432,Wedding Ceremony Workers
4323,장례 상담원 및 장례 지도사,unit,432,Funeral Consultants and Guides
433,동물 관련 서비스 종사자,minor,43,
4331,수의사 보조원,unit,433,Veterinary Assistants
4332,반려동물 훈련사 및 행동 상담사,unit,433,Pet Trainers and Animal Behaviorists
4333,반려동물 관리 종사원,unit,433,Pet-related Workers
439,기타 개인 생활 서비스 종사자,minor,43,
4391,점술가 및 민속신앙 종사원,unit,439,Fortune Tellers and Folk Religion-related Workers
4399,기타 개인 생활 서비스 종사원,unit,439,Other Personal Service Workers
44,운송 및 여가 서비스직,middle,4,
441,운송 서비스 종사자,minor,44,
4411,항공기 객실 승무원,unit,441,Flight Attendants
4412,선박 및 열차 객실 승무원,unit,441,Ship Stewards and Train Attendants
442,여가 서비스 종사자,minor,44,
4421,관광 서비스 종사원,unit,442,Tourism Service Workers
4422,숙박시설 서비스 종사원,unit,442,Lodging Facilities Service Workers
4423,오락시설 서비스 종사원,unit,442,Entertainment Facilities Service Workers
4429,기타 여가 서비스 종사원,unit,442,Other Leisure Service Workers
45,조리 및 음식 서비스직,middle,4,
451,조리사,minor,45,
4511,한식 조리사,unit,451,Korean Food Cooks
4512,중식 조리사,unit,451,Chinese Food Cooks
4513,양식 조리사,unit,451,Western Food Cooks
4514,일식 조리사,unit,451,Japanese Food Cooks
4515,단체급식 조리사,unit,451,Institutional Cooks
4519,기타 조리사,unit,451,Other Cooks
452,음료 조리 종사자,minor,45,
4521,음료 조리원,unit,452,Beverage Makers
4522,바텐더,unit,452,Bartenders
453,식음료 서비스 종사자,minor,45,
4531,식음료 서비스 종사원,unit,453,Food and Beverage Service Workers
4539,기타 식음료 서비스 종사원,unit,453,Other Food and Beverage Service Workers
5,판매 종사자,major,,
51,영업직,middle,5,
510,영업 종사자,minor,51,
5101,자동차 영업원,unit,510,Automobile Sales Representatives
5102,제품 영업원,unit,510,Product Sales Representatives
5103,보험 모집인 및 투자 권유 대행인,unit,510,Insurance Salespersons and Investment Agents
5104,대출 및 신용카드 모집인,unit,510,Loan and Credit Card Solicitors
5105,홍보 도우미 및 판촉원,unit,510,Advertising Assistants and Demonstrators
5109,기타 영업원,unit,510,Other Sales Representatives
52,매장 판매 및 상품 대여직,middle,5,
521,매장 판매 종사자,minor,52,
5211,소규모 상점 경영 및 일선 관리 종사원,unit,521,Shopkeepers and Shop Supervisors
5212,상점 판매원,unit,521,Shop Salespersons
5213,매표원 및 복권 판매원,unit,521,Ticket Agents and Lottery Ticket Salespersons
5214,매장 계산원 및 요금 정산원,unit,521,Cashiers
522,상품 대여 종사자,minor,52,
5220,상품 대여원,unit,522,Rental Agents
53,통신 및 방문·노점 판매 관련직,middle,5,
531,통신 관련 판매 종사자,minor,53,
5311,단말기 및 통신 서비스 판매원,unit,531,Mobile Telecommunications Device and Service Salespersons
5312,온라인 쇼핑 판매원,unit,531,Online Salespersons
5313,텔레마케터,unit,531,Telemarketers
532,방문 및 노점 판매 종사자,minor,53,
5321,방문 판매원,unit,532,Door-to-Door Salespersons
5322,노점 및 이동 판매원,unit,532,Street Stall Salespersons and Vendors
6,농림·어업 숙련 종사자,major,,
61,농축산 숙련직,middle,6,
611,작물 재배 종사자,minor,61,
6111,곡식작물 재배원,unit,611,Crop Farmers
6112,채소 및 특용작물 재배원,unit,611,Vegetable and Special Crop Farmers
6113,과수작물 재배원,unit,611,Fruit Farmers
612,원예 및 조경 종사자,minor,61,
6121,원예작물 재배원,unit,612,Horticultural Growers
6122,조경원,unit,612,Landscapers
613,축산 및 사육 관련 종사자,minor,61,
6131,낙농 관련 종사원,unit,613,Dairy-related Workers
6132,한우 및 육우 사육원,unit,613,Korean Beef Cattle and Beef Cattle Farmers
6133,돼지 사육원,unit,613,Pig Farmers
6134,가금 사육원,unit,613,Poultry Farmers
6139,기타 축산 및 사육 관련 종사원,unit,613,Other Livestock and Breeding-related Workers
62,임업 숙련직,middle,6,
620,임업 관련 종사자,minor,62,
6201,조림·산림 경영인 및 벌목원,unit,620,Forestation and Forest Management Workers and Loggers
6209,기타 임업 관련 종사원,unit,620,Other Forestry-related Workers
63,어업 숙련직,middle,6,
630,어업 관련 종사자,minor,63,
6301,양식원,unit,630,Fisheries Farm Workers
6302,어부 및 해녀,unit,630,Fishermen and Shellfish Divers
7,기능원 및 관련 기능 종사자,major,,
71,식품 가공 관련 기능직,middle,7,
710,식품 가공 관련 기능 종사자,minor,71,
7101,제빵사 및 제과원,unit,710,"Bakers, Pastry Chefs, and Confectionery Makers"
7102,떡 제조원,unit,710,Rice Cake Makers
7103,정육 가공원 및 도축원,unit,710,Meat Processors and Butchers
7104,식품 및 담배 등급원,unit,710,Food and Tobacco Graders
7105,김치 및 밑반찬 제조 종사원,unit,710,Kimchi and Side Dish Makers
7106,도시락 제조원,unit,710,Packed Lunch Makers
7109,기타 식품 가공 관련 기능 종사원,unit,710,Other Food Processing-related Trade Workers
72,섬유·의복 및 가죽 관련 기능직,middle,7,
721,섬유 및 가죽 관련 기능 종사자,minor,72,
7211,패턴사,unit,721,Pattern Makers
7212,재단사,unit,721,Cutters
7213,재봉사,unit,721,Sewers
7214,제화원,unit,721,Shoe Makers
7219,기타 섬유 및 가죽 관련 기능 종사원,unit,721,Other Textile and Leather-related Workers
722,의복 제조 관련 기능 종사자,minor,72,
7221,한복 제조원,unit,722,Korean Traditional Dressmakers
7222,양장 및 양복 제조원,unit,722,Tailors and Dressmakers
7223,모피 및 가죽 의복 제조원,unit,722,Fur and Leather Clothing Makers
7224,의복·가죽 및 모피 수선원,unit,722,"Clothing, Leather, and Fur Repairers"
7229,기타 의복 제조 관련 기능 종사원,unit,722,Other Clothing-related Workers
73,목재·가구·악기 및 간판 관련 기능직,middle,7,
730,목재·가구·악기 및 간판 관련 기능 종사자,minor,73,
7301,목제품 제조 관련 종사원,unit,730,Woodworking-related Workers
7302,가구 제조 및 수리원,unit,730,Furniture Makers and Repairers
7303,악기 제조 및 조율사,unit,730,Musical Instrument Makers and Tuners
7304,간판 제작 및 설치원,unit,730,Signboard Makers and Fitters
74,금속 성형 관련 기능직,middle,7,
740,금속 성형 관련 기능 종사자,minor,74,
7401,금형원,unit,740,Die and Mold Makers
7402,주조원,unit,740,Metal Casting Workers
7403,단조원,unit,740,Hammersmiths and Forging Press Workers
7404,제관원,unit,740,Pipe Makers
7405,판금원,unit,740,Sheet Metal Makers
7406,용접원,unit,740,Welders
75,운송 및 기계 관련 기능직,middle,7,
751,자동차 정비원,minor,75,
7510,자동차 정비원,unit,751,Automobile Mechanics
752,운송장비 정비원,minor,75,
7521,항공기 정비원,unit,752,Aircraft Mechanics
7522,선박 정비원,unit,752,Ship Mechanics
7523,철도 기관차 및 전동차 정비원,unit,752,Rail and Electric Train Mechanics
7529,기타 운송장비 정비원,unit,752,Other Transport Equipment Mechanics
753,기계장비 설치 및 정비원,minor,75,
7531,로봇 설치 및 정비원,unit,753,Robot Fitters and Mechanics
7532,공업기계 설치 및 정비원,unit,753,Industrial Machine Fitters and Mechanics
7533,승강기 설치 및 정비원,unit,753,"Elevator, Escalator, and Wheelchair Lift Fitters and Mechanics"
7534,물품 이동 장비 설치 및 정비원,unit,753,Cargo Handling Equipment Fitters and Mechanics
7535,냉동·냉장·공조기 설치 및 정비원,unit,753,"Refrigerating Systems, Freezers, and Ventilation Systems Fitters and Mechanics"
7536,보일러 설치 및 정비원,unit,753,Boiler Fitters and Mechanics
7537,건설·광업기계 설치 및 정비원,unit,753,Construction and Mining Machinery Fitters and Mechanics
7539,농업용·기타 기계장비 설치 및 정비원,unit,753,Agricultural and Other Machinery Equipment Fitters and Mechanics
76,전기 및 전자 관련 기능직,middle,7,
761,전기·전자기기 설치 및 수리원,minor,76,
7611,사무용 전자기기 설치 및 수리원,unit,761,Office Equipment Fitters and Repairers
7612,가전제품 설치 및 수리원,unit,761,Electrical and Electronic Home Appliance Fitters and Repairers
7619,기타 전기·전자기기 설치 및 수리원,unit,761,Other Electrical and Electronic Equipment Fitters and Repairers
762,전기공,minor,76,
